"Legislative_District","Electric_Utility","Vehicle_Count"
"45","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","227"
"48","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","200"
"41","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","161"
"46","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","113"
"23","PUGET SOUND ENERGY INC","109"
"17","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","87"
"43","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","84"
"36","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","72"
"47","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","72"
"1","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","62"
