"County","Electric_Vehicle_Type","Vehicle_Count"
"Chelan","Plug-in Hybrid Electric Vehicle (PHEV)","1"
"Chelan","Battery Electric Vehicle (BEV)","1"
"Clallam","Battery Electric Vehicle (BEV)","2"
"Clark","Battery Electric Vehicle (BEV)","131"
"Clark","Plug-in Hybrid Electric Vehicle (PHEV)","58"
"Cowlitz","Plug-in Hybrid Electric Vehicle (PHEV)","11"
"Cowlitz","Battery Electric Vehicle (BEV)","10"
"Grant","Plug-in Hybrid Electric Vehicle (PHEV)","2"
"Grant","Battery Electric Vehicle (BEV)","1"
"Island","Battery Electric Vehicle (BEV)","9"
"Island","Plug-in Hybrid Electric Vehicle (PHEV)","6"
"Jefferson","Battery Electric Vehicle (BEV)","7"
"Jefferson","Plug-in Hybrid Electric Vehicle (PHEV)","6"
"King","Battery Electric Vehicle (BEV)","1090"
"King","Plug-in Hybrid Electric Vehicle (PHEV)","218"
"Kitsap","Battery Electric Vehicle (BEV)","113"
"Kitsap","Plug-in Hybrid Electric Vehicle (PHEV)","40"
"Kittitas","Plug-in Hybrid Electric Vehicle (PHEV)","1"
"Kittitas","Battery Electric Vehicle (BEV)","1"
"Skagit","Plug-in Hybrid Electric Vehicle (PHEV)","2"
"Skagit","Battery Electric Vehicle (BEV)","2"
"Snohomish","Battery Electric Vehicle (BEV)","107"
"Snohomish","Plug-in Hybrid Electric Vehicle (PHEV)","28"
"Spokane","Plug-in Hybrid Electric Vehicle (PHEV)","2"
"Spokane","Battery Electric Vehicle (BEV)","1"
"Stevens","Plug-in Hybrid Electric Vehicle (PHEV)","1"
"Thurston","Battery Electric Vehicle (BEV)","71"
"Thurston","Plug-in Hybrid Electric Vehicle (PHEV)","30"
"Walla Walla","Battery Electric Vehicle (BEV)","4"
"Walla Walla","Plug-in Hybrid Electric Vehicle (PHEV)","1"
"Whitman","Battery Electric Vehicle (BEV)","3"
"Whitman","Plug-in Hybrid Electric Vehicle (PHEV)","2"
"Yakima","Battery Electric Vehicle (BEV)","22"
"Yakima","Plug-in Hybrid Electric Vehicle (PHEV)","15"
