"Electric_Utility","Vehicle_Count"
"PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","875"
"CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","433"
"PUGET SOUND ENERGY INC","404"
"BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","187"
"PACIFICORP","41"
"BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY","21"
"BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY","13"
"BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY","6"
"AVISTA CORP","6"
"PUD NO 2 OF GRANT COUNTY","3"
