"Electric_Vehicle_Type","Make","Model","Vehicle_Count"
"Battery Electric Vehicle (BEV)","TESLA","MODEL Y","426"
"Battery Electric Vehicle (BEV)","TESLA","MODEL 3","332"
"Battery Electric Vehicle (BEV)","NISSAN","LEAF","143"
"Battery Electric Vehicle (BEV)","TESLA","MODEL S","76"
"Battery Electric Vehicle (BEV)","TESLA","MODEL X","66"
"Battery Electric Vehicle (BEV)","CHEVROLET","BOLT EV","50"
"Battery Electric Vehicle (BEV)","VOLKSWAGEN","ID.4","36"
"Battery Electric Vehicle (BEV)","FORD","MUSTANG MACH-E","31"
"Battery Electric Vehicle (BEV)","KIA","NIRO","30"
"Battery Electric Vehicle (BEV)","HYUNDAI","IONIQ 5","26"
