"Electric_Utility","Average_MSRP","Vehicle_Count"
"MODERN ELECTRIC WATER COMPANY","18400","2"
"PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","1086.4","875"
"CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","1012.459584295612","433"
"PACIFICORP","779.2682926829268","41"
"PUGET SOUND ENERGY INC","767.9455445544554","404"
"BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","659.3582887700535","187"
"PUD NO 2 OF GRANT COUNTY","0","3"
"PUD NO 1 OF CHELAN COUNTY","0","2"
"CITY OF CHENEY - (WA)","0","1"
"BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY","0","13"
"BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY","0","21"
"BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY","0","2"
"BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY","0","6"
"BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA)","0","2"
"BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN","0","1"
"AVISTA CORP","0","6"
