"2010","King","1"
"2011","Thurston","2"
"2011","Kitsap","2"
"2011","King","1"
"2011","Clark","1"
"2012","King","6"
"2012","Kitsap","3"
"2012","Snohomish","2"
"2012","Clark","2"
"2012","Yakima","1"
"2012","Thurston","1"
"2012","Jefferson","1"
"2013","King","23"
"2013","Clark","9"
"2013","Kitsap","6"
"2013","Yakima","3"
"2013","Thurston","3"
"2013","Snohomish","3"
"2013","Cowlitz","2"
"2014","King","15"
"2014","Kitsap","6"
"2014","Clark","4"
"2014","Yakima","2"
"2014","Thurston","2"
"2014","Snohomish","2"
"2014","Spokane","1"
"2015","King","22"
"2015","Kitsap","9"
"2015","Thurston","6"
"2015","Snohomish","4"
"2015","Clark","4"
"2015","Cowlitz","2"
"2015","Skagit","1"
"2015","Kittitas","1"
"2015","Clallam","1"
"2016","King","49"
"2016","Thurston","7"
"2016","Kitsap","7"
"2016","Clark","7"
"2016","Yakima","3"
"2016","Snohomish","2"
"2016","Clallam","1"
"2017","King","45"
"2017","Kitsap","5"
"2017","Clark","5"
"2017","Thurston","3"
"2017","Snohomish","3"
"2017","Island","2"
"2017","Yakima","1"
"2017","Skagit","1"
"2017","Grant","1"
"2017","Cowlitz","1"
"2018","King","91"
"2018","Snohomish","16"
"2018","Kitsap","15"
"2018","Thurston","7"
"2018","Clark","7"
"2018","Island","5"
"2018","Yakima","3"
"2018","Whitman","1"
"2018","Walla Walla","1"
"2018","Spokane","1"
"2018","Skagit","1"
"2018","Jefferson","1"
"2018","Cowlitz","1"
"2018","Chelan","1"
"2019","King","63"
"2019","Snohomish","19"
"2019","Clark","14"
"2019","Kitsap","7"
"2019","Thurston","4"
"2019","Yakima","2"
"2019","Island","1"
"2019","Cowlitz","1"
"2020","King","79"
"2020","Snohomish","14"
"2020","Kitsap","12"
"2020","Thurston","7"
"2020","Clark","5"
"2020","Yakima","3"
"2020","Walla Walla","3"
"2020","Whitman","2"
"2020","Cowlitz","2"
"2020","Skagit","1"
"2020","Jefferson","1"
"2020","Island","1"
"2021","King","140"
"2021","Kitsap","12"
"2021","Clark","12"
"2021","Snohomish","9"
"2021","Thurston","6"
"2021","Yakima","4"
"2021","Island","2"
"2021","Jefferson","1"
"2022","King","156"
"2022","Clark","29"
"2022","Kitsap","20"
"2022","Thurston","11"
"2022","Snohomish","9"
"2022","Yakima","6"
"2022","Jefferson","5"
"2022","Island","2"
"2022","Cowlitz","2"
"2022","Kittitas","1"
"2023","King","351"
"2023","Clark","54"
"2023","Kitsap","30"
"2023","Snohomish","29"
"2023","Thurston","21"
"2023","Cowlitz","7"
"2023","Yakima","6"
"2023","Jefferson","3"
"2023","Whitman","1"
"2023","Stevens","1"
"2023","Grant","1"
"2024","King","249"
"2024","Clark","34"
"2024","Snohomish","22"
"2024","Thurston","21"
"2024","Kitsap","18"
"2024","Yakima","3"
"2024","Cowlitz","3"
"2024","Island","2"
"2024","Whitman","1"
"2024","Jefferson","1"
"2024","Grant","1"
"2024","Chelan","1"
"2025","King","17"
"2025","Clark","2"
"2025","Walla Walla","1"
"2025","Spokane","1"
"2025","Snohomish","1"
"2025","Kitsap","1"
